,대여소_ID,주소1,주소2,위도,경도,동코드
965,ST-293,서울특별시 영등포구 영등포동8가 82-4,영등포삼환아파트 앞,37.530079,126.905708,11560535
966,ST-2929,서울특별시 강동구 강동구 강동대로 303,,37.519604,127.13871,11740690
967,ST-2928,서울특별시 강동구 방이동 89-29,,37.527229,127.136353,11740690
968,ST-2927,서울특별시 강남구 개포동 181-1,,37.486076,127.059219,11680670
969,ST-2926,서울특별시 강남구 개포동 156-17,,37.486706,127.060501,11680670
970,ST-2925,서울특별시 강남구 개포동 175-3,,37.486423,127.059319,11680670
971,ST-2924,서울특별시 용산구 한강로2가 220-4,,37.527035,126.966179,11170625
972,ST-2923,서울특별시 종로구 새문안로 39-1 동서한의원,,37.568836,126.969551,11110530
973,ST-2922,서울특별시 중랑구 봉우재로41길 6 청운명가프라임,,37.593544,127.08979,11260590
974,ST-2921,서울특별시 중랑구 중랑구 망우로 325(상봉동),,37.597809,127.088448,11260580
975,ST-2920,서울특별시 영등포구 영등포구 양평동5가 51-1,,37.539726,126.890366,11560620
976,ST-292,서울특별시 영등포구 양평동3가 48-1,이앤씨드림타워 앞,37.527084,126.89138,11560610
977,ST-2919,서울특별시 송파구 송파구 풍납동 403-3,,37.529148,127.116058,11710520
978,ST-2918,서울특별시 송파구 백제고분로 236-2 구두수선대,,37.502914,127.092537,11710610
979,ST-2917,서울특별시 송파구 거여동 657,,37.482636,127.139923,11710647
980,ST-2916,서울특별시 송파구 잠실동 349,,37.501171,127.085167,11710650
981,ST-2915,서울특별시 송파구 송파구 오금동 166,,37.498272,127.134865,11710570
982,ST-2914,서울특별시 노원구 노원구 동일로243길 57,,37.678513,127.051743,11350630
983,ST-2913,서울특별시 금천구 독산로 179,,37.462986,126.903709,11545620
984,ST-2912,서울특별시 금천구 시흥동 산 138-3,,37.462723,126.907219,11545700
985,ST-2911,서울특별시 금천구 시흥동 808-56,,37.458382,126.908073,11545700
986,ST-2910,서울특별시 금천구 독산로36길 14,,37.458942,126.90593,11545700
987,ST-291,서울특별시 영등포구 신길동 215-28,신길선원가와인아파트 앞,37.510933,126.910225,11560585
988,ST-2909,서울특별시 강동구 강동구 강일동 736,,37.557072,127.17514,11740526
989,ST-2908,서울특별시 강동구 강동구 강일동 469-9,,37.557404,127.176537,11740526
990,ST-2907,서울특별시 강남구 자곡로3길 21,,37.470928,127.089706,11680700
991,ST-2906,서울특별시 중랑구 용마산로125길 50 벽산아파트,,37.603043,127.100502,11260680
992,ST-2905,서울특별시 마포구 망원로 1-1 토목과 자재창고,,37.555576,126.896889,11440700
993,ST-2904,서울특별시 중랑구 동일로 540,,37.579845,127.08242,11260550
994,ST-2903,서울특별시 중구 중구 청계천로 400,,37.571621,127.022041,11140670
995,ST-2902,서울특별시 영등포구 영등포구 도신로(신길우성4차 401동 앞),,37.512833,126.917633,11560515
996,ST-2901,서울특별시 영등포구 영등포구 가마산로79길 19,,37.506012,126.915886,11560630
997,ST-2900,서울특별시 영등포구 영등포구 여의나루로 76,,37.524105,126.928108,11560540
998,ST-290,서울특별시 영등포구 도림동 255-2,,37.505016,126.898537,11560650
999,ST-29,서울특별시 마포구 백범로 10,31-213,37.55352,126.936951,11440600
1000,ST-2899,서울특별시 영등포구 영등포구 여의나루로 76,,37.523479,126.927116,11560540
1001,ST-2898,서울특별시 성북구 성북구 하월곡동 96-78,,37.606239,127.03466,11290715
1002,ST-2897,서울특별시 서대문구 거북골로 100 래미안 루센티아,,37.575192,126.917686,11410700
1003,ST-2896,서울특별시 노원구 공릉동 405-6,,37.625004,127.073013,11350595
1004,ST-2895,서울특별시 금천구 독산동 산167-9,,37.462399,126.891754,11545610
1005,ST-2894,서울특별시 금천구 독산동 산167-9,,37.462223,126.891815,11545610
1006,ST-2893,서울특별시 금천구 금하로29길 36,,37.45192,126.913757,11545680
1007,ST-2892,서울특별시 구로구 구로구 구로동 50-7,,37.501263,126.891182,11530560
1008,ST-2891,서울특별시 광진구 자양로3가길 28,,37.528793,127.084633,11215830
1009,ST-2890,서울특별시 강서구 마곡동 222-32,,37.573341,126.823318,11500603
1010,ST-289,서울특별시 영등포구 문래동3가 55-12,문래역 4번출구 앞,37.518738,126.895576,11560605
1011,ST-2889,서울특별시 강서구 마곡동 767-3,,37.563541,126.824554,11500630
1012,ST-2888,서울특별시 강서구 내발산동 657-2,,37.555454,126.837517,11500615
1013,ST-2887,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터,,37.531822,126.854622,11500550
1014,ST-2886,서울특별시 강서구 마곡동 799,,37.559311,126.827438,11500611
1015,ST-2885,서울특별시 강서구 마곡동 799,,37.55933,126.827179,11500611
1016,ST-2884,서울특별시 강서구 강서구 마곡동 799,,37.559059,126.827049,11500611
1017,ST-2883,서울특별시 강서구 방화동 849-2,,37.571087,126.807541,11500640
1018,ST-2882,서울특별시 강남구 봉은사로 326,,37.509785,127.04277,11680640
1019,ST-2881,서울특별시 중랑구 중랑구 송림길 114,,37.605488,127.104637,11260655
1020,ST-2880,서울특별시 용산구 용산구 동빙고동 315,,37.525295,126.995834,11170690
1021,ST-288,서울특별시 영등포구 영등포동7가 58-2,유스호스텔 앞,37.525852,126.903282,11560535
1022,ST-2879,서울특별시 양천구 양천구 신정동 1279,,37.522141,126.878059,11470630
1023,ST-2878,서울특별시 송파구 송파구 가락동 166-1,,37.498062,127.134613,11710632
1024,ST-2877,서울특별시 송파구 송파구 오금동 2,,37.510727,127.130402,11710570
1025,ST-2876,서울특별시 송파구 송파구 방이동 40-6,,37.517078,127.112328,11710562
1026,ST-2875,서울특별시 서초구 신원동 319-1,,37.452,127.053917,11650660
1027,ST-2874,서울특별시 마포구 마포구 합정동454-23,,37.550068,126.9048,11440680
1028,ST-2873,서울특별시 관악구 남부순환로1483,,37.482048,126.915245,11620685
1029,ST-2872,서울특별시 관악구 남부순환로1921,,37.477528,126.962769,11620575
1030,ST-2871,서울특별시 강서구 강서구 마곡동 798,,37.559746,126.824387,11500611
1031,ST-2870,서울특별시 강남구 논현로 337,,37.495243,127.039375,11680640
1032,ST-287,서울특별시 영등포구 당산동4가 96-2,제2구민체육센타 앞,37.526386,126.902756,11560560
1033,ST-2869,서울특별시 강남구 광평로10길 15,,37.482761,127.080421,11680720
1034,ST-2868,서울특별시 강남구 자곡로 174-14,,37.472679,127.10376,11680700
1035,ST-2867,서울특별시 강남구 강남구 일원로 7,,37.493706,127.079994,11680730
1036,ST-2866,서울특별시 용산구 원효로4가 113-54,,37.532005,126.955559,11170570
1037,ST-2865,서울특별시 광진구 뚝섬로 596,,37.532986,127.07579,11215830
1038,ST-2864,서울특별시 성동구 용산 보관소,,37.53235596178257,126.95940592217147,11170625
1039,ST-2863,서울특별시 성동구 테스트 대여소,,37.57164,127.03566,11200540
1040,ST-2862,서울특별시 강동구 강동구 아리수로50길 50,,37.558857,127.151489,11740550
1041,ST-2861,서울특별시 노원구 공릉동 656-6,,37.619656,127.081467,11350600
1042,ST-2860,서울특별시 중랑구 중랑구 망우로55길 11-10(상봉동),,37.600254,127.091713,11260580
1043,ST-286,서울특별시 영등포구 신길동 4490,보라매 두산위브 앞,37.496513,126.914803,11590680
1044,ST-2859,서울특별시 노원구 동일로207길 50,,37.643044,127.062134,11350625
1045,ST-2858,서울특별시 강서구 마곡서1로 48,,37.560593,126.820847,11500620
1046,ST-2857,서울특별시 강서구 방화대로 294 마곡더블유타워,,37.566929,126.816841,11500630
1047,ST-2856,서울특별시 성동구 신금호역 2번출구,,37.555073,127.01989,11200615
1048,ST-2855,서울특별시 구로구 서울 구로구 개봉동 204-20,,37.493858,126.856468,11530750
1049,ST-2854,서울특별시 강동구 상일로 55,,37.553612,127.172035,11740525
1050,ST-2853,서울특별시 서초구 원지동 산83-9,,37.4543,127.042831,11650652
1051,ST-2852,서울특별시 영등포구 영등포로 84 선암빌딩,,37.52195,126.890495,11560610
1052,ST-2851,서울특별시 관악구 신림동 1472-3,,37.486752,126.922722,11620685
1053,ST-2850,서울특별시 송파구 잠실동 24,,37.516296,127.08461,11710670
1054,ST-285,서울특별시 영등포구 문래동3가 68-1,문래동자이아파트 앞,37.516155,126.894615,11560605
1055,ST-2849,서울특별시 도봉구 도봉구 쌍문동 250-6,,37.658546,127.027679,11320710
1056,ST-2848,서울특별시 도봉구 방학로 217-1 구두수선대,,37.661736,127.028122,11320710
